index,region,roc_26,roc_45,roc_85,range
0,23,,,,
1,52,,,,
2,22,0.005100353419,0.01412439585,0.03155512196,0.5820703506
3,2,0.0103275768,0.01947283646,0.04157383861,2.382953167
4,9,,,,
5,24,0.002905885984,0.009770639528,0.02454364858,1.975281239
6,50,0.009078058302,0.02351072651,0.04914375955,5.529286385
7,51,0.005959214225,0.02457407297,0.05144825412,3.090526819
8,8,0.01228779397,0.02319009263,0.05040674336,4.198076248
9,3,0.00789333891,0.01733988457,0.03649547015,4.628319263
10,62,,,,
11,7,0.007688489714,0.01957510393,0.04069863771,4.198076248
12,26,0.007496033048,0.01788170854,0.0407663219,1.761049271
13,25,0.004618378037,0.01159804869,0.02728849241,1.964447021
14,49,0.005025367048,0.01775806619,0.03729716848,4.100687027
15,48,0.01101206175,0.02448295335,0.05007815467,2.476575851
16,27,0.005978216471,0.01411157445,0.0306660825,2.557081223
17,47,0.007870915078,0.0184401169,0.03874965239,3.817440033
18,6,0.005402185864,0.01484175215,0.03371477802,1.721759796
19,4,0.005788382678,0.01565120047,0.03519859689,2.622873306
20,5,0.005313744643,0.015384105,0.03513884037,1.223297119
21,32,0.006364291985,0.01655325245,0.0385084809,1.41368866
22,33,,,,
23,10,0.006168300809,0.01610938706,0.03662102137,0.9293050766
24,12,0.005313648777,0.01418658931,0.03289762636,0.436545372
25,36,0.005174404806,0.01469260448,0.03330052612,1.503444672
26,34,0.005714398982,0.01551534874,0.03445386956,0.3417930603
27,11,0.005750299041,0.01570990955,0.03578779941,1.637466431
28,37,0.004055954801,0.01411831031,0.03372684167,0.2196788788
29,35,0.00526096909,0.01477242526,0.03347559689,0.2524986267
30,17,0.004771010988,0.01390583693,0.03356364231,0.1599531174
31,28,0.005600684422,0.01510300982,0.03560837901,0.731218338
32,31,0.006181369833,0.01532072097,0.03724333306,0.4337463379
33,38,0.004256033043,0.01384459974,0.03349509725,0.3408536911
34,16,0.005662877317,0.01325658233,0.03244933361,0.6132965088
35,13,0.007071398225,0.01428313347,0.03137794493,7.962030411
36,29,0.004889860953,0.0139424784,0.03264740082,4.791134834
37,39,0.004134020444,0.01340467589,0.03375232317,0.5581150055
38,40,0.003681605309,0.01258306582,0.03181710024,1.114309311
39,30,0.004944550919,0.01407147764,0.03327867671,2.952600479
40,45,0.005244442457,0.01415485605,0.03489726966,1.364507675
41,41,0.004906400084,0.01394810073,0.03444179487,2.930373192
42,15,0.005671995805,0.01346963861,0.02973512823,2.726273537
43,46,0.0028538557,0.01330341263,0.03275458497,3.364695549
44,14,0.003811690426,0.01243827026,0.02932783564,4.819134712
45,42,0.003266334243,0.01394768047,0.03544558727,2.434358597
46,61,,,,
47,43,0.004280615475,0.01191909449,0.02746090509,1.033193588
48,44,0.003945363922,0.01204932262,0.02934917372,2.921646118
49,60,-0.0008033368099,0.007616190352,0.0186809228,1.245756149
50,59,0.004496412964,0.01263051784,0.03036238524,3.374931812
51,19,,,,
52,21,0.01186730399,0.02007644384,0.03812909806,2.484406948
53,20,,,,
54,58,,,,
55,57,,,,
56,56,,,,
57,53,0.01018715135,0.024496209,0.05018299595,0.8171553612
58,65,0.01013367201,0.02113603377,0.04432236436,0.2802801132
59,1,0.01012419256,0.02332861427,0.05000182429,1.230199337
60,18,,,,
61,63,,,,
62,55,,,,
63,66,,,,
64,64,,,,
65,54,,,,
,,0.01228779397,0.02457407297,0.05144825412,7.962030411
,,-0.0008033368099,0.007616190352,0.0186809228,0.1599531174