region,roc_45,range,w,V,number_45
23,NaN,NaN,NaN,NaN,NaN
52,NaN,NaN,NaN,NaN,NaN
22,0.014124396,0.582070351,0.5,0.0325,18
2,0.019472836,2.382953167,0.5,0.055,18
9,NaN,NaN,NaN,NaN,NaN
24,0.00977064,1.975281239,0.5,0.1,25
50,0.023510727,5.529286385,0.875,0.0325,17
51,0.024574073,3.090526819,NaN,NaN,0
8,0.023190093,4.198076248,NaN,NaN,0
3,0.017339885,4.628319263,0.5,0.055,24
62,NaN,NaN,NaN,NaN,NaN
7,0.019575104,4.198076248,1,0.01,21
26,0.017881709,1.761049271,0.5,0.055,13
25,0.011598049,1.964447021,0.5,0.055,25
49,0.017758066,4.100687027,1,0.0325,24
48,0.024482953,2.476575851,NaN,NaN,0
27,0.014111574,2.557081223,0.5,0.0325,25
47,0.018440117,3.817440033,1,0.01,23
6,0.014841752,1.721759796,0.5,0.055,23
4,0.0156512,2.622873306,0.5,0.055,25
5,0.015384105,1.223297119,0.5,0.055,18
32,0.016553252,1.41368866,0.5,0.0325,20
33,NaN,NaN,NaN,NaN,NaN
10,0.016109387,0.929305077,0.5,0.055,15
12,0.014186589,0.436545372,0.5,0.0325,18
36,0.014692604,1.503444672,0.5,0.055,24
34,0.015515349,0.34179306,0.5,0.055,18
11,0.01570991,1.637466431,0.5,0.055,20
37,0.01411831,0.219678879,0.5,0.055,20
35,0.014772425,0.252498627,0.75,0.1,20
17,0.013905837,0.159953117,0.5,0.1,20
28,0.01510301,0.731218338,0.5,0.055,19
31,0.015320721,0.433746338,0.5,0.055,18
38,0.0138446,0.340853691,0.5,0.1,20
16,0.013256582,0.613296509,0.5,0.055,21
13,0.014283133,7.962030411,0.5,0.055,25
29,0.013942478,4.791134834,0.5,0.0325,25
39,0.013404676,0.558115006,0.5,0.1,21
40,0.012583066,1.114309311,0.5,0.055,25
30,0.014071478,2.952600479,0.5,0.055,25
45,0.014154856,1.364507675,0.5,0.055,22
41,0.013948101,2.930373192,0.5,0.055,25
15,0.013469639,2.726273537,0.5,0.055,25
46,0.013303413,3.364695549,0.5,0.0325,25
14,0.01243827,4.819134712,0.5,0.0325,25
42,0.01394768,2.434358597,0.5,0.0325,25
61,NaN,NaN,NaN,NaN,NaN
43,0.011919094,1.033193588,0.5,0.0775,25
44,0.012049323,2.921646118,0.625,0.0775,25
60,0.00761619,1.245756149,0.5,0.055,25
59,0.012630518,3.374931812,0.5,0.055,25
19,NaN,NaN,NaN,NaN,NaN
21,0.020076444,2.484406948,0.5,0.055,14
20,NaN,NaN,NaN,NaN,NaN
58,NaN,NaN,NaN,NaN,NaN
57,NaN,NaN,NaN,NaN,NaN
56,NaN,NaN,NaN,NaN,NaN
53,0.024496209,0.817155361,NaN,NaN,0
65,0.021136034,0.280280113,NaN,NaN,0
1,0.023328614,1.230199337,NaN,NaN,0
18,NaN,NaN,NaN,NaN,NaN
63,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN
66,NaN,NaN,NaN,NaN,NaN
64,NaN,NaN,NaN,NaN,NaN
54,NaN,NaN,NaN,NaN,NaN